City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-12-19 15:43:53,-33.0153,27.9116,74.34,73,40,5.75
1,Cidreira,BR,2022-12-19 15:43:53,-30.1811,-50.2056,70.12,80,100,16.28
2,Busselton,AU,2022-12-19 15:43:54,-33.65,115.3333,71.06,52,44,12.75
3,San Patricio,US,2022-12-19 15:43:54,28.017,-97.5169,62.83,95,100,11.72
4,Kavieng,PG,2022-12-19 15:43:55,-2.5744,150.7967,79.86,79,100,2.51
5,Yellowknife,CA,2022-12-19 15:43:28,62.456,-114.3525,-21.48,76,75,5.75
6,Marsh Harbour,BS,2022-12-19 15:43:55,26.5412,-77.0636,71.28,69,94,16.71
7,Mataura,NZ,2022-12-19 15:43:55,-46.1927,168.8643,45.93,91,76,0.89
8,Kapoeta,SS,2022-12-19 15:43:56,4.7717,33.5903,90.73,16,62,11.72
9,Upernavik,GL,2022-12-19 15:43:56,72.7868,-56.1549,26.65,63,100,7.85
10,Tasiilaq,GL,2022-12-19 15:43:56,65.6145,-37.6368,12.36,51,0,3.6
11,Sao Domingos,BR,2022-12-19 15:43:57,-13.3983,-46.3183,79.97,68,95,8.14
12,Husavik,IS,2022-12-19 15:43:57,66.0449,-17.3389,24.21,87,100,31.74
13,Bluff,NZ,2022-12-19 15:43:57,-46.6,168.3333,50.61,81,100,17.31
14,Kruisfontein,ZA,2022-12-19 15:43:58,-34.0033,24.7314,70.88,74,94,16.13
15,Grindavik,IS,2022-12-19 15:43:58,63.8424,-22.4338,28.35,86,75,40.29
16,Punta Arenas,CL,2022-12-19 15:43:58,-53.15,-70.9167,57.22,47,100,19.57
17,Ushuaia,AR,2022-12-19 15:43:59,-54.8,-68.3,56.86,41,0,5.75
18,Manono,CD,2022-12-19 15:43:59,-7.3,27.4167,73.63,93,98,4.05
19,Okhotsk,RU,2022-12-19 15:43:59,59.3833,143.3,1.18,82,100,22.46
20,Nuuk,GL,2022-12-19 15:42:01,64.1835,-51.7216,29.01,43,0,4.61
21,Timizart,DZ,2022-12-19 15:44:00,36.8,4.2667,60.49,56,0,3.2
22,Castro,BR,2022-12-19 15:44:00,-24.7911,-50.0119,64.62,83,99,8.03
23,Qaanaaq,GL,2022-12-19 15:44:01,77.484,-69.3632,17.89,94,100,11.54
24,Valparaiso,CL,2022-12-19 15:42:21,-33.0393,-71.6273,71.83,84,0,12.66
25,Puerto Ayora,EC,2022-12-19 15:44:01,-0.7393,-90.3518,76.96,89,67,4.0
26,Sioux Lookout,CA,2022-12-19 15:44:01,50.1001,-91.917,-11.13,77,20,4.61
27,Port Alfred,ZA,2022-12-19 15:44:02,-33.5906,26.891,72.18,81,51,1.99
28,Fort Nelson,CA,2022-12-19 15:42:30,58.8053,-122.7002,-42.21,66,0,2.3
29,Arraial Do Cabo,BR,2022-12-19 15:44:02,-22.9661,-42.0278,78.66,69,75,13.8
30,Mahebourg,MU,2022-12-19 15:44:03,-20.4081,57.7,78.26,72,11,11.16
31,Atar,MR,2022-12-19 15:44:03,20.5169,-13.0499,87.85,19,0,16.11
32,Capao Da Canoa,BR,2022-12-19 15:42:55,-29.7456,-50.0097,69.1,87,100,17.4
33,Albany,US,2022-12-19 15:42:39,42.6001,-73.9662,34.45,67,25,5.01
34,Cape Town,ZA,2022-12-19 15:42:14,-33.9258,18.4232,73.11,52,20,23.02
35,Mar Del Plata,AR,2022-12-19 15:40:00,-38.0023,-57.5575,78.82,75,40,9.22
36,Maceio,BR,2022-12-19 15:39:33,-9.6658,-35.7353,87.24,58,40,13.8
37,Rikitea,PF,2022-12-19 15:44:04,-23.1203,-134.9692,76.41,83,88,18.99
38,Cherskiy,RU,2022-12-19 15:44:05,68.75,161.3,21.54,65,43,7.11
39,Casa Grande,US,2022-12-19 15:43:37,32.8795,-111.7573,39.81,88,0,6.91
40,Biak,ID,2022-12-19 15:44:05,-0.9131,122.8766,76.3,83,94,3.44
41,Roma,US,2022-12-19 15:44:05,43.2128,-75.4557,31.95,79,100,14.97
42,Kabansk,RU,2022-12-19 15:44:06,52.0486,106.6528,10.02,83,100,5.35
43,Laibin,CN,2022-12-19 15:44:06,23.7,109.2667,53.08,30,0,1.99
44,Dingle,PH,2022-12-19 15:44:07,10.9995,122.6711,74.32,92,100,8.39
45,Mehamn,NO,2022-12-19 15:44:07,71.0357,27.8492,28.35,86,100,4.61
46,Quatre Cocos,MU,2022-12-19 15:45:08,-20.2078,57.7625,78.1,71,9,10.89
47,Alice Springs,AU,2022-12-19 15:45:08,-23.7,133.8833,78.35,53,100,10.36
48,Tuktoyaktuk,CA,2022-12-19 15:45:08,69.4541,-133.0374,-23.8,76,20,3.44
49,Hermanus,ZA,2022-12-19 15:45:09,-34.4187,19.2345,70.81,62,13,10.89
50,Bud,US,2022-12-19 15:45:09,39.447,-86.1758,24.82,74,100,0.74
51,Praia Da Vitoria,PT,2022-12-19 15:45:10,38.7333,-27.0667,64.65,77,20,18.92
52,Makakilo City,US,2022-12-19 15:41:00,21.3469,-158.0858,72.19,75,75,27.63
53,Teya,RU,2022-12-19 15:45:11,60.3778,92.6267,-15.16,100,97,1.66
54,Bethel,US,2022-12-19 15:45:08,41.3712,-73.414,37.76,61,0,9.22
55,Sanandaj,IR,2022-12-19 15:45:11,35.3144,46.9923,41.02,61,0,0.0
56,Sao Gabriel Da Cachoeira,BR,2022-12-19 15:45:12,-0.1303,-67.0892,85.8,70,40,4.61
57,Sitka,US,2022-12-19 15:45:12,57.0531,-135.33,19.29,42,0,10.36
58,Zhoucheng,CN,2022-12-19 15:45:12,35.9122,116.3117,31.59,48,29,4.52
59,Faanui,PF,2022-12-19 15:45:13,-16.4833,-151.75,78.8,76,99,7.81
