City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
424,Tacuarembo,UY,82.78,clear sky,-31.7333,-55.9833,Hotel Carlos Gardel
425,Manokwari,ID,78.76,overcast clouds,-0.8667,134.0833,Hotel Arfak
432,Broken hill,AU,71.33,overcast clouds,-31.95,141.4333,Ibis Styles
448,Sao gabriel da cachoeira,BR,78.37,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
451,Mitsamiouli,KM,80.85,broken clouds,-11.3847,43.2844,Hotel le Paradis
452,Natal,BR,83.05,few clouds,-5.795,-35.2094,Natal Palace Hotel
454,Governador dix-sept rosado,BR,87.64,few clouds,-5.4577,-37.5209,Pousada Danielly
463,Cuencame,MX,75.34,clear sky,24.8711,-103.6964,HOTEL La Casa Viajero
467,Chabahar,IR,72.43,clear sky,25.2919,60.643,هتل سپیده
468,Mpraeso,GH,76.82,overcast clouds,6.5932,-0.7346,Ohene Nana Classic Hotel
470,Cuamba,MZ,71.74,light rain,-14.8031,36.5372,Pensao Cariaco
476,Barranca,PE,74.19,scattered clouds,-10.75,-77.7667,Emperador
477,Casimiro de abreu,BR,74.98,light rain,-22.4806,-42.2042,Hotel Patropi
478,Saint-leu,RE,77.86,scattered clouds,-21.15,55.2833,Iloha Seaview Hôtel
479,Chillan,CL,79.12,few clouds,-36.6066,-72.1034,Hotel Isabel Riquelme
480,Matara,LK,74.66,overcast clouds,5.9485,80.5353,Villa Palm Breeze
481,Itarema,BR,79.43,broken clouds,-2.9248,-39.9167,Pousada Oásis
482,Jensen beach,US,75.09,scattered clouds,27.2545,-80.2298,Caribbean Shores Waterfront Resort
483,Bontang,ID,75.49,overcast clouds,0.1333,117.5,Hotel Sederhana
487,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,La Gaviota
489,Isiro,CD,70.45,broken clouds,2.7739,27.616,Hôtel Magbetu
490,Nacala,MZ,81.72,broken clouds,-14.5428,40.6728,Indico Apart Hotel 2
494,Takoradi,GH,79.9,broken clouds,4.8845,-1.7554,Hillcrest
506,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
509,Puerto cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Hotel Caribe
510,Bac lieu,VN,70.27,scattered clouds,9.285,105.7244,Khách sạn Bạc Liêu
515,Nabire,ID,76.24,overcast clouds,-3.3667,135.4833,Hotel Anggrek
518,Daru,PG,78.85,heavy intensity rain,-9.0763,143.2092,Kuki
519,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,Hotel del Valle
529,Langsa,ID,73.36,heavy intensity rain,4.4683,97.9683,Harmoni Hotel
530,Kathu,TH,81.75,overcast clouds,7.9178,98.3332,Tinidee Hotel
539,Sur,OM,73.49,clear sky,22.5667,59.5289,Sur Hotel
541,Salalah,OM,78.89,few clouds,17.0151,54.0924,Muscat International Hotel
543,Montepuez,MZ,75.33,overcast clouds,-13.1256,38.9997,Complexo Messalo
551,Huarmey,PE,74.97,scattered clouds,-10.0681,-78.1522,Hostal Santa Rosa
555,Quatre cocos,MU,77.09,light rain,-20.2078,57.7625,Horisun
563,Touros,BR,78.8,clear sky,-5.1989,-35.4608,Pousada Atlântico
567,Imbituba,BR,72.86,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
569,Muisne,EC,77.22,broken clouds,0.6,-80.0333,Hostal Té de Menta
576,Moche,PE,77.18,fog,-8.1711,-79.0092,Hotel Golf y Country Club
579,Valparaiso,CL,73.63,clear sky,-33.0393,-71.6273,Ibis Hotel
580,Eyl,SO,77.61,scattered clouds,7.9803,49.8164,فندق ايل دابي
581,Pemangkat,ID,76.46,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
586,Soyo,AO,77.9,broken clouds,-6.1349,12.3689,Hotel Maria Teres
588,Diffa,NE,70.84,scattered clouds,13.3154,12.6113,UNHCR guest house
589,Cockburn town,TC,79.03,broken clouds,21.4612,-71.1419,The Salt Raker Inn
596,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Fidji Motel
607,Sulangan,PH,79.66,overcast clouds,11.1373,123.7228,Marion's Inn
628,Upata,VE,78.89,overcast clouds,8.0086,-62.3989,Hotel Garibardi
629,Niteroi,BR,76.62,overcast clouds,-22.8833,-43.1036,Trianon
631,Condega,NI,78.22,few clouds,13.365,-86.3985,Pensión Valdovinos
632,Catamarca,AR,89.78,few clouds,-28.4696,-65.7852,Hotel de Turismo
640,San andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
643,Biltine,TD,72.28,scattered clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
644,Tagusao,PH,78.13,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
649,Bosaso,SO,74.52,clear sky,11.2842,49.1816,Bosaso hotel
652,Ende,ID,79.36,overcast clouds,-8.8432,121.6623,LCR Hotel
653,Neuquen,AR,85.89,thunderstorm with rain,-38.9516,-68.0591,Hotel Argentina 307
654,Baillif,GP,81.9,clear sky,16.0202,-61.7463,Hôtel de Rocroy
657,Jungapeo,MX,74.8,scattered clouds,19.45,-100.4833,Xungapety
661,Inirida,CO,76.91,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
665,Benguela,AO,74.61,clear sky,-12.5763,13.4055,Hotel Moibela
667,Bathsheba,BB,83.01,light rain,13.2167,-59.5167,Atlantis Hotel
676,Vao,NC,76.75,moderate rain,-22.6667,167.4833,Nataiwatch
677,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,Hotel valencia
680,Meulaboh,ID,75.47,overcast clouds,4.1363,96.1285,Hotel Meuligou
694,Kampot,KH,71.42,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
