City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Pacific grove,US,36.6177,-121.9166,58.55,75,0,5.99,clear sky
80,Yazd,IR,31.8972,54.3675,44.71,57,20,4.61,few clouds
81,Avarua,CK,-21.2078,-159.775,78.85,78,75,9.22,broken clouds
82,Dongsheng,CN,39.8161,109.9776,14.86,71,100,22.17,overcast clouds
83,Forestville,US,38.8451,-76.875,41.22,49,0,5.75,clear sky
84,Vartej,IN,21.7333,72.0667,73.65,31,71,7.72,broken clouds
85,Kavaratti,IN,10.5669,72.642,81.14,70,100,6.82,overcast clouds
86,Kashi,CN,39.4547,75.9797,18.61,57,100,4.47,overcast clouds
87,Yellowknife,CA,62.456,-114.3525,-17.88,76,75,2.3,light snow
88,Atar,MR,20.5169,-13.0499,74.32,18,0,7.92,clear sky
89,Mosquera,CO,4.7059,-74.2302,68.09,52,20,10.36,few clouds
90,Isangel,VU,-19.55,169.2667,82.51,78,20,2.3,few clouds
91,Saint-augustin,CA,51.226,-58.6502,33.98,69,100,26.35,overcast clouds
92,Nemuro,JP,43.3236,145.575,23.07,68,7,14.52,clear sky
93,Yulara,AU,-25.2406,130.9889,78.12,37,98,10.65,overcast clouds
94,Alta,NO,69.9689,23.2717,15.06,92,75,3.44,broken clouds
95,Provideniya,RU,64.3833,-173.3,26.71,74,75,13.42,broken clouds
96,College,US,64.8569,-147.8028,-32.85,67,20,0.0,haze
97,Dikson,RU,73.5069,80.5464,-18.87,97,64,0.22,broken clouds
98,Phan thiet,VN,10.9333,108.1,71.69,85,13,2.37,few clouds
99,Souillac,MU,-20.5167,57.5167,75.58,83,40,6.91,scattered clouds
100,Lorengau,PG,-2.0226,147.2712,79.43,81,100,4.47,overcast clouds
101,Marsa matruh,EG,31.3525,27.2453,68.2,73,40,16.11,scattered clouds
102,Palmer,US,42.1584,-72.3287,37.24,64,75,18.41,broken clouds
103,Port hardy,CA,50.6996,-127.4199,23.18,68,75,16.11,broken clouds
104,Taoudenni,ML,22.6783,-3.9836,69.89,21,0,10.74,clear sky
105,Sitka,US,57.0531,-135.33,21.09,35,20,10.36,few clouds
106,Sembe,CG,1.6481,14.5806,74.77,74,85,2.37,overcast clouds
107,Saskylakh,RU,71.9167,114.0833,-5.03,98,100,8.55,light snow
108,Khatanga,RU,71.9667,102.5,-16.2,99,100,6.38,light snow
109,Guaraniacu,BR,-25.1008,-52.8781,69.12,93,72,0.81,broken clouds
110,Tolyatti,RU,53.5303,49.3461,15.48,83,7,5.14,clear sky
111,Vigrestad,NO,58.5667,5.7,45.82,85,100,27.34,overcast clouds
112,Mizdah,LY,31.4451,12.9801,59.2,70,100,10.29,overcast clouds
113,Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,12.66,few clouds
114,Honiara,SB,-9.4333,159.95,78.64,84,20,3.98,few clouds
115,Qaqortoq,GL,60.7167,-46.0333,9.16,63,20,8.55,few clouds
116,Guarapari,BR,-20.6667,-40.4975,72.9,97,100,6.49,light rain
117,Alofi,NU,-19.0595,-169.9187,82.29,74,40,10.36,scattered clouds
118,Saint-louis,SN,16.3333,-15.0,82.29,12,5,9.35,clear sky
119,Koszalin,PL,54.1944,16.1722,34.65,94,100,17.27,snow
120,Kruisfontein,ZA,-34.0033,24.7314,62.89,71,99,15.08,overcast clouds
121,Hammerfest,NO,70.6634,23.6821,30.65,64,40,8.05,scattered clouds
122,Aklavik,CA,68.2191,-135.0107,-31.0,75,20,3.44,few clouds
123,Cidreira,BR,-30.1811,-50.2056,68.94,90,100,20.11,overcast clouds
124,Murgab,TM,37.4966,61.9714,33.67,80,0,0.0,clear sky
125,Olafsvik,IS,64.8945,-23.7142,27.91,71,100,50.76,overcast clouds
